Date,Symbol,Currency,Qty,Price Per Share,Commission,MER Fees,Action
2022-03-27,XIU.TO,CAD,10,$21.31,$3.15,$0.00,Buy
2022-03-30,GOOGL,USD,2,$212.36,$4.00,$0.00,Buy
2022-04-06,AMZN,USD,2,$134.47,$7.77,$0.00,Buy
2022-04-18,JNJ,USD,-142,$111.44,$7.05,$0.00,Sell
2022-04-28,PG,USD,-11,$158.95,$5.34,$0.00,Sell
2022-05-22,PG,USD,75,$0.85,$0.00,$0.00,Dividend
2022-05-23,AMZN,USD,-103,$135.04,$6.79,$0.00,Sell
2022-05-31,GOOGL,USD,10,$196.61,$9.23,$0.00,Buy
2022-06-18,NVDA,USD,50,$398.55,$9.79,$0.00,Buy
2022-06-26,JNJ,USD,25,$94.11,$6.77,$0.00,Buy
2022-07-02,XIU.TO,CAD,5,$26.28,$5.39,$0.00,Buy
2022-07-06,NVDA,USD,-42,$409.92,$4.02,$0.00,Sell
2022-07-18,AMZN,USD,100,$126.68,$3.43,$0.00,Buy
2022-07-27,VEA,USD,2,$55.74,$2.24,$0.00,Buy
2022-09-05,AMZN,USD,-8,$119.90,$7.19,$0.00,Sell
2022-09-09,BCE.TO,CAD,-32,$78.58,$2.67,$0.00,Sell
2022-09-25,NVDA,USD,20,$551.26,$1.02,$0.00,Buy
2022-09-26,JNJ,USD,18,$0.53,$0.00,$0.00,Dividend
2022-09-27,VEA,USD,-16,$52.47,$1.05,$0.00,Sell
2022-10-05,AMZN,USD,100,$113.68,$3.77,$0.00,Buy
2022-10-10,BCE.TO,CAD,-18,$84.63,$5.05,$0.00,Sell
2022-10-15,XIU.TO,CAD,-50,$25.36,$9.56,$0.00,Sell
2022-10-24,BCE.TO,CAD,1,$73.91,$6.73,$0.00,Buy
2022-11-09,GOOGL,USD,-14,$219.86,$1.76,$0.00,Sell
2022-11-11,NVDA,USD,10,$545.55,$8.77,$0.00,Buy
2022-12-13,PG,USD,20,$174.37,$5.77,$0.00,Buy
2022-12-16,PG,USD,20,$168.19,$6.03,$0.00,Buy
2022-12-24,GOOGL,USD,5,$227.27,$6.55,$0.00,Buy
2022-12-26,BCE.TO,CAD,50,$85.67,$5.29,$0.00,Buy
2023-01-03,AMZN,USD,-52,$125.43,$7.23,$0.00,Sell
2023-01-24,AMZN,USD,5,$121.57,$5.09,$0.00,Buy
2023-01-27,VEA,USD,20,$54.57,$2.52,$0.00,Buy
2023-03-07,XIU.TO,CAD,15,$27.64,$8.09,$0.19,Buy
2023-03-12,JNJ,USD,10,$62.76,$8.74,$0.00,Buy
2023-04-07,JNJ,USD,15,$67.42,$9.71,$0.00,Buy
2023-04-14,GOOGL,USD,10,$266.62,$7.09,$0.00,Buy
2023-04-23,NVDA,USD,-55,$478.35,$3.05,$0.00,Sell
2023-05-18,AMZN,USD,25,$120.45,$2.78,$0.00,Buy
2023-06-01,JNJ,USD,25,$71.05,$3.27,$0.00,Buy
2023-06-07,BCE.TO,CAD,50,$70.97,$8.50,$0.00,Buy
2023-06-08,GOOGL,USD,10,$286.44,$5.11,$0.00,Buy
2023-06-10,BCE.TO,CAD,25,$70.51,$3.89,$0.00,Buy
2023-06-15,NVDA,USD,-18,$481.19,$5.00,$0.00,Sell
2023-06-18,AMZN,USD,20,$118.24,$6.69,$0.00,Buy
2023-06-24,BCE.TO,CAD,2,$69.42,$6.58,$0.00,Buy
2023-06-29,PG,USD,10,$208.00,$7.18,$0.00,Buy
2023-07-02,JNJ,USD,100,$75.20,$0.80,$0.00,Buy
2023-07-16,GOOGL,USD,15,$257.29,$3.22,$0.00,Buy
2023-07-20,XIU.TO,CAD,50,$20.00,$2.43,$0.00,Buy
2023-07-22,JNJ,USD,10,$66.56,$9.68,$0.00,Buy
2023-08-06,GOOGL,USD,1,$251.95,$8.89,$0.00,Buy
2023-09-11,PG,USD,10,$216.15,$2.54,$0.00,Buy
2023-10-01,GOOGL,USD,-2,$325.86,$4.39,$0.00,Sell
2023-10-02,NVDA,USD,-59,$606.90,$5.38,$0.00,Sell
2023-10-24,JNJ,USD,50,$75.73,$9.46,$0.00,Buy
2023-11-01,PG,USD,20,$1.22,$0.00,$0.00,Dividend
2023-11-07,XIU.TO,CAD,-7,$21.61,$9.94,$0.00,Sell
2023-11-09,PG,USD,10,$212.07,$3.83,$0.00,Buy
2023-11-25,GOOGL,USD,-16,$338.21,$4.50,$0.00,Sell
2023-11-27,JNJ,USD,68,$0.52,$0.00,$0.00,Dividend
2023-12-21,VEA,USD,5,$129.01,$5.45,$0.00,Buy
2023-12-22,NVDA,USD,-14,$572.19,$8.97,$0.00,Sell
2024-01-03,AMZN,USD,50,$113.27,$3.95,$0.00,Buy
2024-01-21,BCE.TO,CAD,10,$87.50,$0.76,$0.00,Buy
2024-01-28,VEA,USD,-4,$126.89,$0.50,$0.00,Sell
2024-02-18,NVDA,USD,104,$0.15,$0.00,$0.00,Dividend
2024-02-23,VEA,USD,25,$119.47,$1.36,$0.00,Buy
2024-02-27,GOOGL,USD,10,$342.28,$2.88,$0.00,Buy
2024-03-03,BCE.TO,CAD,20,$82.46,$4.36,$0.00,Buy
2024-03-09,JNJ,USD,-36,$61.23,$7.72,$0.00,Sell
2024-03-11,PG,USD,-73,$176.15,$7.82,$0.00,Sell
2024-04-22,VEA,USD,-13,$130.95,$9.47,$0.00,Sell
2024-04-23,PG,USD,10,$184.39,$5.05,$0.00,Buy
2024-04-25,VEA,USD,8,$0.91,$0.00,$0.00,Dividend
2024-04-26,GOOGL,USD,-4,$351.97,$2.03,$0.00,Sell
2024-05-17,AMZN,USD,10,$131.95,$6.72,$0.00,Buy
2024-05-22,AMZN,USD,20,$132.00,$2.09,$0.00,Buy
2024-05-31,XIU.TO,CAD,-1,$18.87,$2.29,$0.00,Sell
2024-06-06,GOOGL,USD,5,$336.67,$2.46,$0.00,Buy
2024-06-11,NVDA,USD,2,$680.66,$0.09,$0.00,Buy
2024-06-13,PG,USD,20,$175.07,$8.00,$0.00,Buy
2024-06-20,AMZN,USD,100,$133.72,$4.51,$0.00,Buy
2024-06-25,VEA,USD,50,$0.98,$0.00,$0.00,Dividend
2024-07-06,GOOGL,USD,10,$316.20,$5.18,$0.00,Buy
2024-07-11,GOOGL,USD,-58,$315.34,$5.38,$0.00,Sell
2024-07-18,PG,USD,74,$0.86,$0.00,$0.00,Dividend
2024-07-31,PG,USD,10,$146.03,$4.65,$0.00,Buy
2024-08-05,NVDA,USD,5,$726.27,$4.70,$0.00,Buy
2024-08-09,VEA,USD,53,$0.86,$0.00,$0.00,Dividend
2024-09-12,XIU.TO,CAD,15,$16.75,$8.49,$0.00,Buy
2024-09-23,GOOGL,USD,10,$323.47,$9.17,$0.00,Buy
2024-09-26,JNJ,USD,-97,$77.57,$4.90,$0.00,Sell
2024-10-10,PG,USD,10,$178.73,$7.72,$0.00,Buy
2024-10-19,BCE.TO,CAD,100,$98.10,$6.86,$0.00,Buy
2024-10-29,NVDA,USD,20,$870.19,$3.19,$0.00,Buy
2024-12-11,AMZN,USD,-7,$123.30,$0.91,$0.00,Sell
2024-12-26,XIU.TO,CAD,2,$16.87,$9.48,$0.53,Buy
2024-12-28,JNJ,USD,50,$77.14,$2.76,$0.00,Buy
2025-01-03,AMZN,USD,50,$116.49,$2.71,$0.00,Buy
2025-01-10,JNJ,USD,53,$0.52,$0.00,$0.00,Dividend
2025-01-10,VEA,USD,33,$1.45,$0.00,$0.00,Dividend
2025-01-15,XIU.TO,CAD,-36,$19.17,$7.65,$0.00,Sell
2025-01-19,XIU.TO,CAD,50,$19.69,$4.81,$1.83,Buy
2025-02-05,JNJ,USD,2,$75.87,$8.70,$0.00,Buy
2025-02-21,VEA,USD,-37,$185.07,$3.80,$0.00,Sell
2025-03-11,VEA,USD,50,$172.67,$0.19,$0.00,Buy
2025-03-22,GOOGL,USD,100,$460.46,$6.61,$0.00,Buy
2025-03-29,PG,USD,1,$222.36,$8.58,$0.00,Buy
2025-03-30,XIU.TO,CAD,100,$19.34,$2.25,$0.00,Buy
2025-04-05,XIU.TO,CAD,-25,$19.74,$4.50,$0.00,Sell
2025-04-09,NVDA,USD,15,$729.07,$4.39,$0.00,Buy
2025-04-11,JNJ,USD,-37,$81.98,$5.15,$0.00,Sell
2025-05-08,VEA,USD,-36,$213.83,$2.99,$0.00,Sell
2025-05-16,JNJ,USD,-2,$89.26,$1.79,$0.00,Sell
2025-06-05,XIU.TO,CAD,10,$16.61,$3.98,$0.00,Buy
2025-06-28,BCE.TO,CAD,2,$100.33,$4.70,$0.00,Buy
2025-06-30,XIU.TO,CAD,20,$17.05,$1.79,$0.30,Buy
2025-07-04,AMZN,USD,5,$96.24,$4.29,$0.00,Buy
2025-07-06,BCE.TO,CAD,100,$96.30,$7.99,$0.00,Buy
2025-07-18,PG,USD,2,$219.52,$6.47,$0.00,Buy
2025-07-27,VEA,USD,25,$258.88,$8.29,$0.00,Buy
2025-08-13,BCE.TO,CAD,100,$93.76,$2.67,$0.00,Buy
2025-08-20,JNJ,USD,50,$65.30,$2.88,$0.00,Buy
2025-09-03,BCE.TO,CAD,53,$1.72,$0.00,$0.00,Dividend
2025-09-20,VEA,USD,50,$256.47,$4.78,$0.00,Buy
2025-10-05,NVDA,USD,100,$924.35,$9.47,$0.00,Buy
2025-10-13,BCE.TO,CAD,78,$1.82,$0.00,$0.00,Dividend
2025-10-26,XIU.TO,CAD,1,$18.57,$6.19,$0.00,Buy
2025-10-28,GOOGL,USD,-65,$380.11,$4.26,$0.00,Sell
