Date,Symbol,Qty,Price Per Share,Commission,MER Fees,Action
2021-02-01,ENB.TO,1,$25.50,$8.62,$0.00,Buy
2021-02-03,RY.TO,50,$244.21,$7.01,$0.00,Buy
2021-02-08,QQQ,-1,"$1,168.69",$4.74,$0.00,Sell
2021-02-16,AMZN,10,$109.37,$7.30,$0.00,Buy
2021-02-21,QQQ,1,$1.50,$0.00,$0.00,Dividend
2021-03-01,AMZN,10,$115.50,$8.56,$0.00,Buy
2021-05-09,AMZN,5,$125.37,$2.11,$0.00,Buy
2021-05-09,QQQ,1,$1.47,$0.00,$0.00,Dividend
2021-06-10,XIC.TO,15,$62.11,$6.54,$0.00,Buy
2021-06-18,AMZN,-5,$137.11,$1.37,$0.00,Sell
2021-08-19,NVDA,10,"$1,053.10",$7.85,$0.00,Buy
2021-09-06,JPM,100,$517.51,$7.80,$0.00,Buy
2021-09-10,KO,26,$0.65,$0.00,$0.00,Dividend
2021-09-26,VTI,2,$508.44,$3.72,$0.00,Buy
2021-10-31,NVDA,10,$0.31,$0.00,$0.00,Dividend
2021-11-18,XIC.TO,-130,$61.54,$1.35,$0.00,Sell
2021-11-20,KO,20,$75.81,$0.17,$0.00,Buy
2021-11-26,RY.TO,-44,$286.74,$7.39,$0.00,Sell
2021-12-23,SPY,15,$324.99,$6.77,$0.00,Buy
2022-01-22,CVX,6,$1.41,$0.00,$0.00,Dividend
2022-02-03,JPM,5,$982.33,$0.75,$0.00,Buy
2022-02-24,VTI,20,$567.45,$1.63,$0.00,Buy
2022-03-21,IWM,1,$264.44,$6.71,$0.00,Buy
2022-03-30,ENB.TO,50,$33.45,$1.81,$0.00,Buy
2022-05-05,IWM,15,$245.50,$0.50,$0.00,Buy
2022-06-02,XIC.TO,50,$61.28,$7.44,$0.00,Buy
2022-06-04,AMZN,1,$286.67,$5.53,$0.00,Buy
2022-06-20,RY.TO,15,$372.98,$6.06,$0.00,Buy
2022-07-14,XIC.TO,15,$59.95,$8.97,$0.00,Buy
2022-08-18,ENB.TO,1,$39.81,$8.05,$0.00,Buy
2022-09-10,RY.TO,5,$493.61,$0.53,$0.00,Buy
2022-09-11,XIU.TO,25,$32.02,$2.95,$0.00,Buy
2022-09-18,ENB.TO,-29,$35.22,$9.77,$0.00,Sell
2022-10-24,XIU.TO,25,$31.39,$7.96,$0.00,Buy
2022-10-25,SPY,-55,$289.12,$8.07,$0.00,Sell
2022-12-02,VOO,20,$696.88,$2.21,$0.00,Buy
2022-12-13,SPY,13,$1.05,$0.00,$0.00,Dividend
2023-02-02,VTI,5,$868.94,$5.05,$0.00,Buy
2023-02-05,ENB.TO,36,$0.64,$0.00,$0.00,Dividend
2023-02-19,XIU.TO,-30,$49.64,$9.49,$0.00,Sell
2023-03-31,JPM,10,$822.80,$6.86,$0.00,Buy
2023-04-02,VOO,20,$602.72,$5.25,$0.00,Buy
2023-04-12,JPM,15,$847.62,$4.07,$0.00,Buy
2023-05-25,SPY,2,$334.20,$4.70,$0.00,Buy
2023-05-25,AMZN,-5,$725.57,$3.57,$0.00,Sell
2023-07-10,AMZN,-10,$639.54,$4.90,$0.00,Sell
2023-07-23,QQQ,-1,"$1,551.40",$7.21,$0.00,Sell
2023-07-28,ENB.TO,15,$32.59,$6.08,$0.00,Buy
2023-09-06,XIU.TO,25,$58.62,$2.15,$0.00,Buy
2023-09-30,JPM,2,"$1,366.62",$1.81,$0.00,Buy
2023-10-04,RY.TO,2,$393.75,$4.97,$0.00,Buy
2023-10-06,RY.TO,10,$405.38,$4.81,$0.00,Buy
2023-10-26,AMZN,1,$652.84,$6.61,$0.00,Buy
2023-10-28,QQQ,1,"$1,405.51",$5.11,$0.70,Buy
2023-11-21,ENB.TO,25,$33.11,$8.35,$0.00,Buy
2023-12-04,XIU.TO,15,$54.91,$6.86,$0.00,Buy
2023-12-11,VTI,2,$813.61,$4.72,$0.00,Buy
2023-12-27,ENB.TO,20,$29.74,$5.07,$0.00,Buy
2024-01-12,VTI,130,$2.46,$0.00,$0.00,Dividend
2024-01-14,SPY,25,$264.01,$8.51,$0.00,Buy
2024-01-21,XIU.TO,15,$48.57,$2.64,$0.00,Buy
2024-01-27,JPM,5,"$1,206.33",$1.84,$0.00,Buy
2024-02-04,IWM,54,$0.47,$0.00,$0.00,Dividend
2024-02-08,ENB.TO,5,$30.61,$6.95,$0.00,Buy
2024-02-10,AMZN,20,$618.93,$4.45,$0.00,Buy
2024-02-13,NVDA,20,"$1,316.12",$7.10,$0.00,Buy
2024-02-15,ENB.TO,15,$29.48,$7.70,$0.00,Buy
2024-02-28,JPM,2,"$1,066.16",$4.16,$0.00,Buy
2024-03-06,XIC.TO,15,$0.57,$0.00,$0.00,Dividend
2024-03-13,IWM,-8,$165.39,$0.97,$0.00,Sell
2024-03-15,VTI,-11,$790.66,$5.04,$0.00,Sell
2024-03-20,XIU.TO,20,$52.04,$8.29,$0.00,Buy
2024-04-01,RY.TO,-18,$437.36,$6.22,$0.00,Sell
2024-04-04,JPM,-37,$923.43,$2.98,$0.00,Sell
2024-04-09,KO,-3,$116.98,$8.38,$0.00,Sell
2024-05-04,JPM,100,$864.76,$6.88,$0.00,Buy
2024-05-10,KO,15,$126.65,$6.19,$0.00,Buy
2024-05-15,NVDA,105,$0.38,$0.00,$0.00,Dividend
2024-05-18,RY.TO,2,$418.64,$7.55,$0.00,Buy
2024-06-01,AMZN,-16,$443.03,$2.26,$0.00,Sell
2024-06-14,IWM,-2,$118.01,$3.55,$0.00,Sell
2024-06-29,SPY,1,$223.66,$6.90,$0.00,Buy
2024-08-05,ENB.TO,25,$34.41,$9.63,$0.00,Buy
2024-09-05,CVX,100,$110.25,$8.60,$0.00,Buy
2024-09-08,NVDA,2,"$1,562.40",$5.11,$0.00,Buy
2024-09-24,CVX,-49,$116.06,$5.88,$0.00,Sell
2024-10-14,VOO,100,$948.11,$8.78,$0.00,Buy
2024-10-23,CVX,105,$1.07,$0.00,$0.00,Dividend
2024-10-25,CVX,-9,$114.58,$8.39,$0.00,Sell
2024-11-08,NVDA,-8,"$1,445.03",$3.32,$0.00,Sell
2024-12-19,VTI,20,$749.32,$3.57,$0.00,Buy
2024-12-25,NVDA,50,"$1,702.04",$1.13,$0.00,Buy
2025-02-09,VTI,10,$884.76,$2.94,$0.00,Buy
2025-03-05,JPM,20,$876.23,$3.71,$0.00,Buy
2025-04-08,VTI,100,"$1,059.76",$8.23,$0.00,Buy
2025-05-12,IWM,25,$142.93,$6.74,$0.00,Buy
2025-05-23,ENB.TO,25,$38.40,$6.33,$0.00,Buy
2025-06-08,KO,5,$124.87,$6.47,$0.00,Buy
2025-07-02,VOO,2,$927.35,$2.11,$0.00,Buy
2025-07-10,QQQ,-5,"$1,245.10",$7.46,$0.00,Sell
2025-08-02,JPM,-116,"$1,020.52",$9.11,$0.00,Sell
2025-08-04,XIU.TO,-7,$111.65,$7.56,$0.00,Sell
2025-08-16,ENB.TO,-37,$40.76,$6.92,$0.00,Sell
2025-10-04,RY.TO,100,$343.94,$7.23,$0.00,Buy
2025-10-18,VTI,-119,"$1,089.65",$6.44,$0.00,Sell
2025-10-19,SPY,20,$195.83,$7.01,$0.00,Buy
