Date,Symbol,Qty,Price Per Share,Commission,MER Fees,Action
2021-06-02,QQQ,25,$554.95,$0.46,$0.00,Buy
2021-06-06,META,-99,$355.68,$0.89,$0.00,Sell
2021-06-12,GOOGL,100,$114.47,$8.94,$0.00,Buy
2021-07-04,ENB.TO,10,$107.23,$7.16,$0.00,Buy
2021-07-12,QQQ,10,$512.35,$4.99,$0.00,Buy
2021-07-15,VEA,-83,$75.14,$2.57,$0.00,Sell
2021-07-21,MSFT,20,$459.50,$4.40,$0.00,Buy
2021-08-02,META,100,$300.13,$5.24,$0.00,Buy
2021-09-09,VTI,-101,$330.02,$5.24,$0.00,Sell
2021-09-13,NVDA,20,$443.62,$5.14,$0.00,Buy
2021-09-16,VEA,2,$90.08,$0.32,$0.70,Buy
2021-09-23,VCN.TO,100,$75.01,$3.93,$0.00,Buy
2021-09-27,ENB.TO,25,$1.64,$0.00,$0.00,Dividend
2021-10-11,VEA,100,$84.41,$4.88,$0.00,Buy
2021-10-14,SU.TO,50,$203.46,$5.97,$0.00,Buy
2021-10-20,VTI,-93,$289.99,$6.80,$0.00,Sell
2021-11-10,GOOGL,2,$126.03,$4.65,$0.00,Buy
2021-12-05,AMZN,100,$122.67,$4.01,$0.00,Buy
2021-12-27,VCN.TO,10,$75.80,$0.51,$0.00,Buy
2022-01-21,VTI,-1,$297.40,$8.73,$0.00,Sell
2022-02-03,VEA,-16,$73.41,$0.32,$0.00,Sell
2022-02-12,VOO,-2,"$1,514.66",$3.75,$0.00,Sell
2022-02-17,QQQ,15,$704.97,$9.53,$0.00,Buy
2022-03-03,ENB.TO,15,$96.46,$7.03,$0.00,Buy
2022-03-11,VTI,-43,$287.96,$3.83,$0.00,Sell
2022-03-13,AAPL,2,$370.63,$0.05,$0.00,Buy
2022-04-03,AAPL,22,$0.43,$0.00,$0.00,Dividend
2022-04-08,META,-96,$334.64,$2.18,$0.00,Sell
2022-05-08,AAPL,1,$407.18,$5.70,$0.00,Buy
2022-05-20,VOO,10,"$1,420.18",$3.00,$12.89,Buy
2022-05-28,VCN.TO,20,$86.56,$5.54,$0.00,Buy
2022-06-03,MSFT,20,$459.48,$6.42,$0.00,Buy
2022-06-16,NVDA,5,$585.78,$3.88,$0.00,Buy
2022-06-18,AAPL,-4,$415.48,$6.81,$0.00,Sell
2022-06-20,NVDA,-4,$587.77,$5.71,$0.00,Sell
2022-07-20,META,2,$357.99,$3.61,$0.00,Buy
2022-08-28,VTI,33,$1.44,$0.00,$0.00,Dividend
2022-09-24,QQQ,-22,$709.20,$6.05,$0.00,Sell
2022-10-15,VTI,50,$429.65,$2.14,$0.00,Buy
2022-11-17,AMZN,2,$78.19,$1.29,$0.00,Buy
2022-11-30,VEA,50,$72.08,$5.63,$0.00,Buy
2022-12-18,VCN.TO,1,$95.99,$9.48,$0.00,Buy
2023-01-02,GOOGL,15,$114.89,$8.30,$0.00,Buy
2023-02-14,SU.TO,5,$323.47,$7.68,$0.00,Buy
2023-03-14,QQQ,-23,$952.06,$2.04,$0.00,Sell
2023-04-24,VCN.TO,-115,$117.30,$8.08,$0.00,Sell
2023-05-01,QQQ,25,$899.29,$4.31,$0.00,Buy
2023-05-28,VOO,50,"$2,680.31",$7.61,$0.00,Buy
2023-07-02,VOO,50,"$3,134.93",$6.59,$0.00,Buy
2023-07-08,ENB.TO,15,$150.96,$4.74,$0.00,Buy
2023-08-08,VOO,15,"$2,828.52",$4.97,$0.00,Buy
2023-08-10,AAPL,2,$169.74,$1.85,$0.00,Buy
2023-08-24,QQQ,50,"$1,205.97",$5.25,$0.00,Buy
2023-08-27,VOO,100,"$2,667.53",$1.40,$0.00,Buy
2023-09-04,QQQ,15,"$1,247.95",$0.61,$0.00,Buy
2023-09-15,SU.TO,-5,$305.88,$9.44,$0.00,Sell
2023-10-02,GOOGL,2,$232.10,$0.62,$0.00,Buy
2023-10-07,GOOGL,15,$233.09,$0.17,$0.00,Buy
2023-10-24,VTI,15,$261.41,$3.59,$0.00,Buy
2023-11-11,VOO,10,"$2,478.80",$3.00,$0.00,Buy
2023-11-28,VTI,66,$0.86,$0.00,$0.00,Dividend
2023-12-02,MSFT,-6,$537.24,$9.28,$0.00,Sell
2023-12-08,NVDA,10,$639.50,$2.47,$0.00,Buy
2023-12-12,META,-39,$510.85,$4.82,$0.00,Sell
2023-12-21,ENB.TO,100,$212.18,$1.50,$0.00,Buy
2023-12-27,VOO,-171,"$2,631.49",$8.25,$0.00,Sell
2023-12-31,SU.TO,50,$3.93,$0.00,$0.00,Dividend
2024-01-05,VTI,5,$248.65,$4.32,$0.00,Buy
2024-01-10,VOO,1,"$2,376.04",$7.02,$0.00,Buy
2024-02-04,VOO,-5,"$2,431.16",$7.23,$0.00,Sell
2024-02-25,QQQ,100,"$1,095.18",$1.80,$0.00,Buy
2024-03-04,VCN.TO,-236,$99.88,$0.43,$0.00,Sell
2024-04-07,QQQ,1,$969.85,$9.12,$0.00,Buy
2024-04-22,GOOGL,5,$276.56,$4.98,$0.00,Buy
2024-04-25,MSFT,1,$504.43,$5.83,$0.00,Buy
2024-05-16,META,-47,$518.36,$8.71,$0.00,Sell
2024-05-18,MSFT,-38,$506.33,$1.52,$0.00,Sell
2024-05-30,VEA,-92,$53.59,$8.20,$0.00,Sell
2024-07-10,MSFT,-25,$508.62,$0.12,$0.00,Sell
2024-08-18,VEA,20,$57.87,$7.33,$0.00,Buy
2024-09-07,VOO,-16,"$2,075.89",$7.05,$0.00,Sell
2024-09-14,AAPL,15,$170.04,$5.93,$0.00,Buy
2024-09-17,MSFT,20,$448.60,$0.30,$0.00,Buy
2024-09-23,NVDA,5,$678.79,$8.13,$0.00,Buy
2024-11-02,META,-12,$571.92,$5.02,$0.00,Sell
2024-11-06,VTI,50,$279.57,$0.47,$0.00,Buy
2024-11-19,SU.TO,15,$303.72,$9.66,$0.00,Buy
2024-11-25,QQQ,5,"$1,186.28",$0.09,$0.00,Buy
2024-12-28,META,10,$591.45,$2.19,$0.00,Buy
2025-01-08,GOOGL,-54,$301.39,$3.74,$0.00,Sell
2025-01-09,GOOGL,5,$309.19,$7.32,$0.00,Buy
2025-02-11,AMZN,25,$291.09,$3.79,$0.00,Buy
2025-03-01,VTI,100,$320.10,$0.08,$0.00,Buy
2025-03-03,VTI,50,$325.84,$9.66,$0.00,Buy
2025-03-26,NVDA,-1,$596.28,$2.40,$0.00,Sell
2025-04-28,SU.TO,-27,$338.54,$1.37,$0.00,Sell
2025-05-04,ENB.TO,10,$255.95,$0.52,$0.00,Buy
2025-05-15,AAPL,5,$159.15,$9.85,$0.00,Buy
2025-06-14,MSFT,-6,$737.27,$7.71,$0.00,Sell
2025-06-26,VTI,-18,$259.87,$6.53,$0.00,Sell
2025-07-05,NVDA,2,$615.45,$6.88,$0.00,Buy
2025-08-08,META,-1,$587.04,$9.56,$0.00,Sell
2025-08-20,META,10,$640.68,$2.42,$0.00,Buy
2025-08-21,NVDA,15,$742.86,$3.76,$0.00,Buy
2025-08-27,VTI,5,$246.11,$1.07,$0.00,Buy
2025-09-06,VTI,20,$244.13,$5.08,$0.00,Buy
2025-09-07,VCN.TO,50,$219.54,$3.13,$0.00,Buy
2025-09-18,SU.TO,1,$401.28,$4.02,$0.00,Buy
2025-09-25,QQQ,-32,"$1,297.63",$3.17,$0.00,Sell
2025-10-06,VEA,-59,$23.80,$0.58,$0.00,Sell
2025-10-14,VCN.TO,15,$198.74,$8.90,$0.00,Buy
