Date,Symbol,Qty,Price Per Share,Commission,MER Fees,Action
2021-01-15,ENB.TO,25,$42.18,$0.04,$0.00,Buy
2021-02-01,NVDA,5,$385.64,$9.18,$0.00,Buy
2021-02-06,NVDA,-150,$373.43,$1.09,$0.00,Sell
2021-02-08,NVDA,25,$381.80,$5.86,$0.00,Buy
2021-02-23,PG,100,$110.41,$2.81,$0.00,Buy
2021-02-26,ENB.TO,15,$44.30,$8.52,$0.00,Buy
2021-03-27,IWM,2,$390.84,$5.77,$0.00,Buy
2021-03-27,NVDA,50,$419.03,$8.83,$0.00,Buy
2021-04-20,RY.TO,10,$242.30,$5.37,$0.00,Buy
2021-05-10,NVDA,1,$381.03,$2.95,$0.00,Buy
2021-06-26,IWM,-2,$391.97,$8.60,$0.00,Sell
2021-07-03,RY.TO,20,$217.27,$6.93,$0.00,Buy
2021-07-06,ENB.TO,10,$54.07,$4.99,$0.00,Buy
2021-07-25,CNR.TO,5,$128.29,$3.31,$0.00,Buy
2021-07-30,NVDA,25,$429.71,$0.24,$0.00,Buy
2021-08-08,RY.TO,-2,$206.87,$4.49,$0.00,Sell
2021-08-11,TD.TO,1,$136.76,$6.77,$0.00,Buy
2021-09-20,TD.TO,134,$1.58,$0.00,$0.00,Dividend
2021-09-24,QQQ,2,$880.40,$1.98,$0.00,Buy
2021-09-29,NVDA,25,$537.35,$8.54,$0.00,Buy
2021-10-29,CNR.TO,54,$0.56,$0.00,$0.00,Dividend
2021-11-03,VCN.TO,2,$36.46,$0.86,$0.00,Buy
2021-12-04,CNR.TO,1,$115.69,$7.86,$0.00,Buy
2021-12-12,TD.TO,50,$140.37,$3.27,$0.00,Buy
2021-12-18,GOOGL,10,$205.36,$6.42,$0.00,Buy
2022-02-06,QQQ,2,$670.29,$3.08,$0.00,Buy
2022-02-17,NVDA,1,$441.25,$9.48,$0.00,Buy
2022-03-01,VCN.TO,5,$40.07,$3.13,$0.00,Buy
2022-03-27,VCN.TO,20,$37.75,$5.91,$0.00,Buy
2022-04-03,IWM,2,$473.50,$7.03,$0.00,Buy
2022-04-29,TD.TO,10,$128.40,$5.21,$0.00,Buy
2022-05-10,ENB.TO,-46,$47.39,$9.51,$0.00,Sell
2022-05-10,NVDA,2,$448.55,$2.48,$0.00,Buy
2022-05-18,NVDA,25,$443.16,$3.65,$0.00,Buy
2022-05-21,NVDA,-144,$442.05,$6.93,$0.00,Sell
2022-05-25,VCN.TO,2,$35.30,$9.36,$0.00,Buy
2022-05-27,RY.TO,10,$1.74,$0.00,$0.00,Dividend
2022-05-30,NVDA,-3,$432.66,$8.21,$0.00,Sell
2022-06-01,RY.TO,-5,$157.71,$3.72,$0.00,Sell
2022-06-12,NVDA,173,$0.11,$0.00,$0.00,Dividend
2022-06-16,PG,5,$103.33,$7.74,$0.00,Buy
2022-08-05,ENB.TO,10,$55.58,$2.49,$0.00,Buy
2022-08-13,CNR.TO,50,$119.31,$7.88,$0.00,Buy
2022-09-07,CNR.TO,10,$120.13,$5.53,$0.00,Buy
2022-09-25,ENB.TO,50,$70.12,$3.19,$0.00,Buy
2022-09-26,QQQ,2,$580.47,$7.75,$0.00,Buy
2022-11-05,QQQ,-13,$544.95,$2.18,$0.00,Sell
2022-11-07,VCN.TO,20,$53.56,$9.47,$0.00,Buy
2022-11-14,RY.TO,5,$151.83,$0.52,$0.00,Buy
2022-12-10,CNR.TO,-2,$132.01,$7.59,$0.00,Sell
2022-12-13,RY.TO,5,$152.22,$6.41,$0.00,Buy
2022-12-31,NVDA,-69,$594.61,$7.32,$0.00,Sell
2023-01-07,SU.TO,2,$21.99,$3.36,$0.00,Buy
2023-01-13,ENB.TO,2,$79.62,$4.02,$0.00,Buy
2023-02-15,QQQ,-2,$546.77,$1.03,$0.00,Sell
2023-02-18,TD.TO,60,$2.30,$0.00,$0.00,Dividend
2023-03-03,CNR.TO,100,$149.03,$6.86,$0.00,Buy
2023-03-26,ENB.TO,15,$70.96,$6.27,$0.00,Buy
2023-03-27,TD.TO,15,$203.08,$2.33,$0.00,Buy
2023-04-02,QQQ,1,$603.18,$4.35,$0.00,Buy
2023-04-04,ENB.TO,25,$76.64,$1.73,$0.00,Buy
2023-04-04,PG,100,$124.29,$8.00,$0.00,Buy
2023-04-15,ENB.TO,15,$76.58,$0.91,$0.00,Buy
2023-04-17,CNR.TO,100,$166.62,$7.66,$0.00,Buy
2023-04-27,TD.TO,-11,$225.65,$5.82,$0.00,Sell
2023-06-11,PG,100,$0.76,$0.00,$0.00,Dividend
2023-06-21,ENB.TO,-90,$79.39,$5.45,$0.00,Sell
2023-07-28,NVDA,100,$739.03,$6.93,$0.00,Buy
2023-07-30,GOOGL,100,$172.05,$5.37,$0.00,Buy
2023-08-11,ENB.TO,25,$71.37,$6.29,$0.00,Buy
2023-08-24,IWM,20,$444.40,$8.28,$0.00,Buy
2023-08-28,QQQ,15,$579.76,$2.22,$4.35,Buy
2023-08-31,SU.TO,25,$30.21,$1.57,$0.00,Buy
2023-09-23,SU.TO,56,$0.33,$0.00,$0.00,Dividend
2023-10-11,CNR.TO,25,$124.79,$1.02,$0.00,Buy
2023-10-20,NVDA,20,$803.72,$1.22,$0.00,Buy
2023-10-22,ENB.TO,1,$64.88,$7.95,$0.00,Buy
2023-10-29,PG,50,$85.53,$2.63,$0.00,Buy
2023-12-31,PG,25,$85.00,$8.21,$0.00,Buy
2024-02-13,TD.TO,5,$164.89,$1.79,$0.00,Buy
2024-02-13,CNR.TO,10,$143.93,$9.73,$0.00,Buy
2024-02-25,VCN.TO,-61,$45.30,$2.99,$0.00,Sell
2024-04-05,NVDA,25,$684.81,$9.63,$0.00,Buy
2024-04-06,TD.TO,68,$1.53,$0.00,$0.00,Dividend
2024-05-07,CNR.TO,50,$150.75,$0.38,$0.00,Buy
2024-05-11,IWM,-9,$430.48,$7.60,$0.00,Sell
2024-05-23,ENB.TO,1,$52.17,$4.99,$0.00,Buy
2024-06-03,GOOGL,-31,$230.61,$0.61,$0.00,Sell
2024-06-16,SU.TO,39,$0.31,$0.00,$0.00,Dividend
2024-06-17,TD.TO,5,$135.71,$0.26,$0.00,Buy
2024-06-30,SU.TO,50,$28.65,$4.15,$0.00,Buy
2024-07-17,IWM,-10,$388.26,$6.46,$0.00,Sell
2024-07-22,GOOGL,5,$234.39,$5.74,$0.00,Buy
2024-08-23,CNR.TO,10,$145.54,$4.45,$0.00,Buy
2024-08-26,SU.TO,1,$34.63,$6.95,$0.00,Buy
2024-08-27,GOOGL,-48,$222.56,$4.58,$0.00,Sell
2024-09-10,CNR.TO,-185,$145.07,$2.59,$0.00,Sell
2024-09-21,IWM,-26,$363.06,$5.43,$0.00,Sell
2024-09-23,TD.TO,73,$1.71,$0.00,$0.00,Dividend
2024-09-29,SU.TO,25,$31.86,$6.11,$0.00,Buy
2024-10-08,IWM,1,$394.19,$9.72,$0.00,Buy
2024-11-02,TD.TO,78,$1.84,$0.00,$0.00,Dividend
2024-11-06,NVDA,10,$637.13,$4.57,$0.00,Buy
2024-11-13,NVDA,15,$611.24,$2.89,$0.00,Buy
2024-11-25,TD.TO,-2,$170.90,$9.50,$0.00,Sell
2024-12-05,GOOGL,25,$260.96,$3.69,$0.00,Buy
2025-01-11,ENB.TO,10,$51.35,$2.91,$0.00,Buy
2025-01-15,CNR.TO,15,$153.11,$2.97,$0.00,Buy
2025-01-23,CNR.TO,50,$157.39,$1.02,$0.00,Buy
2025-02-23,NVDA,10,$858.18,$8.36,$0.00,Buy
2025-03-08,NVDA,15,$881.55,$7.73,$0.00,Buy
2025-04-02,GOOGL,-1,$285.60,$1.82,$0.00,Sell
2025-04-06,SU.TO,-30,$43.72,$7.40,$0.00,Sell
2025-05-30,QQQ,50,"$1,243.91",$6.17,$0.00,Buy
2025-06-05,CNR.TO,1,$128.77,$4.82,$0.00,Buy
2025-06-27,QQQ,1,"$1,159.24",$9.86,$0.00,Buy
2025-07-10,IWM,15,$623.95,$0.59,$0.00,Buy
2025-07-23,ENB.TO,1,$46.14,$2.07,$0.00,Buy
2025-07-26,VCN.TO,-37,$51.57,$7.78,$0.44,Sell
2025-08-05,PG,20,$112.55,$1.48,$0.00,Buy
2025-09-02,SU.TO,5,$40.23,$7.84,$0.00,Buy
2025-09-16,TD.TO,5,$188.19,$3.78,$0.00,Buy
2025-10-13,NVDA,50,$695.06,$1.73,$0.00,Buy
